Commit SHA,Java File,Old function signature,New function signature
2f996dcf0159f945f7ec97ce7402e5d293009444,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,"asyncRecoverLedgerFragment(LedgerHandle, LedgerFragment, AsyncCallback.VoidCallback, Set)","asyncRecoverLedgerFragment(LedgerHandle, LedgerFragment, AsyncCallback.VoidCallback, Set, BiConsumer)"
2f996dcf0159f945f7ec97ce7402e5d293009444,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,"replicateLedgerFragment(LedgerHandle, LedgerFragment)","replicateLedgerFragment(LedgerHandle, LedgerFragment, Map, BiConsumer)"
2f996dcf0159f945f7ec97ce7402e5d293009444,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,"replicateLedgerFragment(LedgerHandle, LedgerFragment)","replicateLedgerFragment(LedgerHandle, LedgerFragment, BiConsumer)"
2f996dcf0159f945f7ec97ce7402e5d293009444,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,"replicateLedgerFragment(LedgerHandle, LedgerFragment, Map)","replicateLedgerFragment(LedgerHandle, LedgerFragment, Map, BiConsumer)"
2f996dcf0159f945f7ec97ce7402e5d293009444,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerFragmentReplicator.java,"replicateFragmentInternal(LedgerHandle, LedgerFragment, AsyncCallback.VoidCallback, Set)","replicateFragmentInternal(LedgerHandle, LedgerFragment, AsyncCallback.VoidCallback, Set, BiConsumer)"
2f996dcf0159f945f7ec97ce7402e5d293009444,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerFragmentReplicator.java,"replicateNextBatch(LedgerHandle, Iterator, AsyncCallback.VoidCallback, Set)","replicateNextBatch(LedgerHandle, Iterator, AsyncCallback.VoidCallback, Set, BiConsumer)"
2f996dcf0159f945f7ec97ce7402e5d293009444,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerFragmentReplicator.java,"recoverLedgerFragmentEntry(Long, LedgerHandle, AsyncCallback.VoidCallback, Set)","recoverLedgerFragmentEntry(Long, LedgerHandle, AsyncCallback.VoidCallback, Set, BiConsumer)"
2f996dcf0159f945f7ec97ce7402e5d293009444,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerFragmentReplicator.java,"replicate(LedgerHandle, LedgerFragment, AsyncCallback.VoidCallback, Set)","replicate(LedgerHandle, LedgerFragment, AsyncCallback.VoidCallback, Set, BiConsumer)"
1e63d3c83e89d152cb603955e303b5377d8ab8e6,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,"internalReadEntry(long, long, long)","internalReadEntry(long, long, long, boolean)"
5a3fa848f1817d447446f8250de559d631b81487,tools/ledger/src/test/java/org/apache/bookkeeper/tools/cli/commands/bookies/ListBookiesCommandTest.java,"testCommand(boolean, boolean, String[])","testCommand(boolean, boolean, boolean, String[])"
b34162a932b93a7e65451dce3f6e10bfda707997,bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AuditorPlacementPolicyCheckTest.java,"setServerConfigProperties(ServerConfiguration)","setServerConfigProperties(ServerConfiguration, String)"
6820f890343e51a6b2b1c9544b90dc1c6ca40dea,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java,"testGetBookieInfo()","testGetBookieInfo(boolean)"
dba831375ad0f10821c04258fb08f70cce3f4b67,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClientImpl.java,"create(BookieSocketAddress, PerChannelBookieClientPool, SecurityHandlerFactory)","create(BookieSocketAddress, PerChannelBookieClientPool, SecurityHandlerFactory, boolean)"
dba831375ad0f10821c04258fb08f70cce3f4b67,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClientFactory.java,"create(BookieSocketAddress, PerChannelBookieClientPool, SecurityHandlerFactory)","create(BookieSocketAddress, PerChannelBookieClientPool, SecurityHandlerFactory, boolean)"
41b39c6eff249729a698838e880ad77cc0c18c67,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerMetadataSerDe.java,"parseVersion3Config(InputStream)","parseVersion3Config(InputStream, Optional)"
407cb35e594e2334ae687f7c884651c7642349fa,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadataImpl.java,"LedgerMetadataImpl(int, int, int, int, State, Optional, Optional, Map, Optional, Optional, long, boolean, Map)","LedgerMetadataImpl(int, int, int, int, State, Optional, Optional, Map, Optional, Optional, long, boolean, long, Map)"
eaa6014049e6bc8253f5b0282e4ace8a3aff92e2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ReadEntryProcessor.java,"create(ReadRequest, Channel, BookieRequestProcessor)","create(ReadRequest, Channel, BookieRequestProcessor, ExecutorService)"
d511f590c15dd86345719ba842bd373411c6da49,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/CleanupLedgerManager.java,"getLedgerRanges()","getLedgerRanges(long)"
d511f590c15dd86345719ba842bd373411c6da49,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,"getLedgerRanges()","getLedgerRanges(long)"
d511f590c15dd86345719ba842bd373411c6da49,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,"getLedgerRanges()","getLedgerRanges(long)"
d511f590c15dd86345719ba842bd373411c6da49,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,"getLedgerRanges()","getLedgerRanges(long)"
d511f590c15dd86345719ba842bd373411c6da49,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LegacyHierarchicalLedgerManager.java,"getLedgerRanges()","getLedgerRanges(long)"
d511f590c15dd86345719ba842bd373411c6da49,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LongHierarchicalLedgerManager.java,"getLedgerRanges()","getLedgerRanges(long)"
d511f590c15dd86345719ba842bd373411c6da49,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,"getChildrenInSingleNode(ZooKeeper, String)","getChildrenInSingleNode(ZooKeeper, String, long)"
d511f590c15dd86345719ba842bd373411c6da49,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/MockLedgerManager.java,"getLedgerRanges()","getLedgerRanges(long)"
d511f590c15dd86345719ba842bd373411c6da49,metadata-drivers/etcd/src/main/java/org/apache/bookkeeper/metadata/etcd/EtcdLedgerManager.java,"getLedgerRanges()","getLedgerRanges(long)"
