Commit SHA,Java File,Old function signature,New function signature
3f48af64dec23b7649c94ba03204c8bbfbdfe679,extensions/platform-http/deployment/src/main/java/org/apache/camel/quarkus/component/platform/http/deployment/PlatformHttpProcessor.java,"platformHttpEngine(PlatformHttpRecorder, VertxWebRouterBuildItem, BodyHandlerBuildItem, List)","platformHttpEngine(PlatformHttpRecorder, VertxWebRouterBuildItem, BodyHandlerBuildItem, List, UploadAttacherBuildItem)"
3f48af64dec23b7649c94ba03204c8bbfbdfe679,extensions/platform-http/runtime/src/main/java/org/apache/camel/quarkus/component/platform/http/runtime/PlatformHttpRecorder.java,"createEngine(RuntimeValue, List)","createEngine(RuntimeValue, List, RuntimeValue)"
3f48af64dec23b7649c94ba03204c8bbfbdfe679,extensions/platform-http/runtime/src/main/java/org/apache/camel/quarkus/component/platform/http/runtime/QuarkusPlatformHttpConsumer.java,"QuarkusPlatformHttpConsumer(PlatformHttpEndpoint, Processor, Router, List)","QuarkusPlatformHttpConsumer(PlatformHttpEndpoint, Processor, Router, List, UploadAttacher)"
3f48af64dec23b7649c94ba03204c8bbfbdfe679,extensions/platform-http/runtime/src/main/java/org/apache/camel/quarkus/component/platform/http/runtime/QuarkusPlatformHttpEngine.java,"QuarkusPlatformHttpEngine(Router, List)","QuarkusPlatformHttpEngine(Router, List, UploadAttacher)"
7aa41066ecddc2b85abb4de540acef9a766233d7,extensions/platform-http/runtime/src/main/java/org/apache/camel/quarkus/component/platform/http/runtime/QuarkusPlatformHttpConsumer.java,"toExchange(RoutingContext, Exchange, HeaderFilterStrategy)","toExchange(RoutingContext, Exchange, HeaderFilterStrategy, String)"
7aa41066ecddc2b85abb4de540acef9a766233d7,extensions/platform-http/runtime/src/main/java/org/apache/camel/quarkus/component/platform/http/runtime/QuarkusPlatformHttpConsumer.java,"toCamelMessage(RoutingContext, Exchange, HeaderFilterStrategy)","toCamelMessage(RoutingContext, Exchange, HeaderFilterStrategy, String)"
f1a6aae060632a65f1e89056a92a6bf394429dc3,extensions/core/runtime/src/main/java/org/apache/camel/quarkus/core/CamelMainRecorder.java,"createCamelMain(RuntimeValue, BeanContainer)","createCamelMain(RuntimeValue, RuntimeValue, BeanContainer)"
cc876147987aa5eb918d927b2380b970ac2d1a60,extensions/platform-http/deployment/src/main/java/org/apache/camel/quarkus/component/platform/http/deployment/PlatformHttpProcessor.java,"platformHttpEngine(PlatformHttpRecorder, VertxWebRouterBuildItem)","platformHttpEngine(PlatformHttpRecorder, VertxWebRouterBuildItem, BodyHandlerBuildItem, List)"
cc876147987aa5eb918d927b2380b970ac2d1a60,extensions/platform-http/runtime/src/main/java/org/apache/camel/quarkus/component/platform/http/runtime/PlatformHttpRecorder.java,"createEngine(RuntimeValue)","createEngine(RuntimeValue, List)"
cc876147987aa5eb918d927b2380b970ac2d1a60,extensions/platform-http/runtime/src/main/java/org/apache/camel/quarkus/component/platform/http/runtime/QuarkusPlatformHttpConsumer.java,"QuarkusPlatformHttpConsumer(Endpoint, Processor, Router)","QuarkusPlatformHttpConsumer(Endpoint, Processor, Router, List)"
cc876147987aa5eb918d927b2380b970ac2d1a60,extensions/platform-http/runtime/src/main/java/org/apache/camel/quarkus/component/platform/http/runtime/QuarkusPlatformHttpEngine.java,"QuarkusPlatformHttpEngine(Router)","QuarkusPlatformHttpEngine(Router, List)"
081cea2057b09d8cf9f1c4142595acaf93d3a063,extensions/core/runtime/src/main/java/org/apache/camel/quarkus/core/CamelRecorder.java,"createContext(RuntimeValue, BeanContainer, CamelConfig.BuildTime)","createContext(RuntimeValue, RuntimeValue, RuntimeValue, BeanContainer, CamelConfig.BuildTime)"
081cea2057b09d8cf9f1c4142595acaf93d3a063,extensions/core/runtime/src/main/java/org/apache/camel/quarkus/core/FastModel.java,"FastModel(CamelContext)","FastModel(CamelContext, XmlLoader)"
b6b57772cb5679e5e656898e83365e221d0fb642,integration-tests/microprofile-metrics/src/test/java/org/apache/camel/quarkus/component/microprofile/metrics/it/MicroProfileMetricsTest.java,"getMetricFloatValue(String)","getMetricFloatValue(String, String[])"
