Commit SHA,Java File,Old function signature,New function signature
acd35bddacb2d7b899329522d47735cc1785c8dd,server/src/test/java/org/elasticsearch/ingest/IngestStatsTests.java,"assertIngestStats(IngestStats, IngestStats, boolean)","assertIngestStats(IngestStats, IngestStats, boolean, boolean)"
f96a5ca61cb9fad9ed59357320af20e669348ce7,x-pack/plugin/sql/qa/src/main/java/org/elasticsearch/xpack/sql/qa/rest/RestSqlTestCase.java,"runSql(HttpEntity, String)","runSql(HttpEntity, String, String)"
f96a5ca61cb9fad9ed59357320af20e669348ce7,x-pack/plugin/sql/sql-cli/src/main/java/org/elasticsearch/xpack/sql/cli/Cli.java,"execute(String, boolean, String, boolean)","execute(String, boolean, boolean, String, boolean)"
f96a5ca61cb9fad9ed59357320af20e669348ce7,x-pack/plugin/sql/sql-cli/src/main/java/org/elasticsearch/xpack/sql/cli/ConnectionBuilder.java,"buildConnection(String, String)","buildConnection(String, String, boolean)"
f96a5ca61cb9fad9ed59357320af20e669348ce7,x-pack/plugin/sql/sql-client/src/main/java/org/elasticsearch/xpack/sql/client/ConnectionConfiguration.java,"ConnectionConfiguration(URI, String, boolean, long, long, long, long, int, String, String, SslConfig, ProxyConfig)","ConnectionConfiguration(URI, String, boolean, boolean, long, long, long, long, int, String, String, SslConfig, ProxyConfig)"
f96a5ca61cb9fad9ed59357320af20e669348ce7,x-pack/plugin/sql/sql-proto/src/main/java/org/elasticsearch/xpack/sql/proto/SqlQueryRequest.java,"SqlQueryRequest(String, TimeValue, TimeValue, RequestInfo)","SqlQueryRequest(String, TimeValue, TimeValue, RequestInfo, boolean)"
f96a5ca61cb9fad9ed59357320af20e669348ce7,x-pack/plugin/sql/sql-proto/src/main/java/org/elasticsearch/xpack/sql/proto/SqlQueryRequest.java,"SqlQueryRequest(String, TimeValue, TimeValue, RequestInfo)","SqlQueryRequest(String, List, ZoneId, int, TimeValue, TimeValue, ToXContent, Boolean, String, RequestInfo, boolean, boolean, Boolean)"
f96a5ca61cb9fad9ed59357320af20e669348ce7,x-pack/plugin/sql/sql-proto/src/main/java/org/elasticsearch/xpack/sql/proto/SqlQueryRequest.java,"SqlQueryRequest(String, List, ZoneId, int, TimeValue, TimeValue, ToXContent, Boolean, String, RequestInfo, boolean, boolean)","SqlQueryRequest(String, List, ZoneId, int, TimeValue, TimeValue, ToXContent, Boolean, String, RequestInfo, boolean, boolean, Boolean)"
454020ac8acb147eae97acb4ccd6fb470d1e5f48,x-pack/plugin/core/src/main/java/org/elasticsearch/xpack/core/ilm/IndexLifecycleExplainResponse.java,"IndexLifecycleExplainResponse(String, boolean, String, Long, String, String, String, String, Long, Long, Long, BytesReference, PhaseExecutionInfo)","IndexLifecycleExplainResponse(String, boolean, String, Long, String, String, String, String, Boolean, Integer, Long, Long, Long, BytesReference, PhaseExecutionInfo)"
454020ac8acb147eae97acb4ccd6fb470d1e5f48,x-pack/plugin/core/src/main/java/org/elasticsearch/xpack/core/ilm/IndexLifecycleExplainResponse.java,"newManagedIndexResponse(String, String, Long, String, String, String, String, Long, Long, Long, BytesReference, PhaseExecutionInfo)","newManagedIndexResponse(String, String, Long, String, String, String, String, Boolean, Integer, Long, Long, Long, BytesReference, PhaseExecutionInfo)"
