Commit SHA,Java File,Old function signature,New function signature
fd6f88f129003ccbf4dc175f7b76a4bdec9ff493,src/main/java/org/mockito/internal/debugging/LocationImpl.java,"computeStackTraceInformation(StackTraceFilter, Throwable)","computeStackTraceInformation(StackTraceFilter, Throwable, boolean)"
fd6f88f129003ccbf4dc175f7b76a4bdec9ff493,src/main/java/org/mockito/internal/debugging/LocationImpl.java,"LocationImpl(StackTraceFilter, Throwable)","LocationImpl(StackTraceFilter, Throwable, boolean)"
fd6f88f129003ccbf4dc175f7b76a4bdec9ff493,src/main/java/org/mockito/internal/debugging/LocationImpl.java,"LocationImpl(Throwable)","LocationImpl(StackTraceFilter, Throwable, boolean)"
fd6f88f129003ccbf4dc175f7b76a4bdec9ff493,src/main/java/org/mockito/internal/debugging/LocationImpl.java,"LocationImpl(Throwable)","LocationImpl(Throwable, boolean)"
fd6f88f129003ccbf4dc175f7b76a4bdec9ff493,src/main/java/org/mockito/internal/exceptions/stacktrace/StackTraceFilter.java,"filterFirst(Throwable)","filterFirst(Throwable, boolean)"
ea745bffa1b47fe496bfd47f7813257b42aa80da,src/test/java/org/mockito/internal/verification/checkers/MissingInvocationCheckerTest.java,"buildIntArgMethod()","buildIntArgMethod(InvocationBuilder)"
3d2e721fafa390dbe13ccfe891816bbc809823d4,src/main/java/org/mockito/internal/creation/bytebuddy/SubclassBytecodeGenerator.java,"nameFor(Class, ClassLoader)","nameFor(Class, Set, ClassLoader)"
02e1445f304a1c4ad41ed71b3cd0096a3be52292,src/main/java/org/mockito/internal/creation/bytebuddy/SubclassBytecodeGenerator.java,"addReadEdgeByProbe(Class)","addReadEdgeByProbe(Class, Class)"
423bfff5fe09d44a7d229bed17404d2bee4aaa6c,subprojects/module-test/src/test/java/org/mockito/moduletest/CanLoadWithSimpleModule.java,"layer(Path)","layer(Path, boolean)"
831ca145685755ff2a81ad81d1b59870a679dd38,src/main/java/org/mockito/internal/creation/bytebuddy/SubclassBytecodeGenerator.java,"nameFor(Class)","nameFor(Class, ClassLoader)"
137278d265e8ddc3566cfd7e0faec129d6f3835e,src/main/java/org/mockito/internal/exceptions/Reporter.java,"stubPassedToVerify()","stubPassedToVerify(Object)"
27876964df6738e616c28980590aff8b8e93982b,src/main/java/org/mockito/internal/junit/DefaultStubbingLookupListener.java,"onStubbingLookup(Invocation, Stubbing, MockCreationSettings)","onStubbingLookup(Invocation, Stubbing, List, MockCreationSettings)"
27876964df6738e616c28980590aff8b8e93982b,src/main/java/org/mockito/internal/junit/DefaultStubbingLookupListener.java,"potentialArgMismatches(Invocation)","potentialArgMismatches(Invocation, Collection)"
27876964df6738e616c28980590aff8b8e93982b,src/main/java/org/mockito/internal/listeners/StubbingLookupListener.java,"onStubbingLookup(Invocation, Stubbing, MockCreationSettings)","onStubbingLookup(Invocation, Stubbing, List, MockCreationSettings)"
db4912e338a991a31429acfa7c64b4cefd3f0240,src/main/java/org/mockito/internal/stubbing/InvocationContainerImpl.java,"setAnswersForStubbing(List)","setAnswersForStubbing(List, Strictness)"
ab2e7eb1a62fb9360aa3c8ade41bde564a17cc05,src/main/java/org/mockito/internal/stubbing/InvocationContainerImpl.java,"addAnswer(Answer, boolean)","addAnswer(Answer, boolean, Strictness)"
ab2e7eb1a62fb9360aa3c8ade41bde564a17cc05,src/main/java/org/mockito/internal/stubbing/InvocationContainerImpl.java,"addAnswer(Answer)","addAnswer(Answer, Strictness)"
ab2e7eb1a62fb9360aa3c8ade41bde564a17cc05,src/main/java/org/mockito/internal/stubbing/InvocationContainerImpl.java,"addAnswer(Answer)","addAnswer(Answer, boolean, Strictness)"
